local_code,local_citation,status,candidate_codes,selected_code,selected_meaning_slp1,shared_selected_code,same_code_source_citation,same_code_source_gloss,candidate_assignment_count,candidate_meaning_status,accepted_lexical_transfer
01.0017,dada~\,same_code_and_citation,01.0017,01.0017,dAne,False,dada~\,dAne,1,single_gloss,False
01.0018,zvada~\,same_code_and_citation,01.0018,01.0018,AsvAdane,False,zvada~\,AsvAdane,1,single_gloss,False
01.0019,svarda~\,same_code_and_citation,01.0019,01.0019,AsvAdane,False,svarda~\,AsvAdane,1,single_gloss,False
01.0020,urda~\,same_code_and_citation,01.0020,01.0020,mAne krIqAyAM AsvAdane ca,False,urda~\,mAne krIqAyAM AsvAdane ca,3,enumerated_glosses,False
01.0021,kurda\,no_exact_same_gana_citation,,,,False,kurda~\,krIqAyAm eva,,no_selected_candidate,False
01.0022,Kurda\,no_exact_same_gana_citation,,,,False,Kurda~\,krIqAyAm eva,,no_selected_candidate,False
01.0023,gurda\,no_exact_same_gana_citation,,,,False,gurda~\,krIqAyAm eva,,no_selected_candidate,False
01.0024,guda~\,same_code_and_citation,01.0024,01.0024,krIqAyAm eva,False,guda~\,krIqAyAm eva,1,single_gloss,False
01.0025,zUda~\,same_code_and_citation,01.0025,01.0025,kzaraRe,False,zUda~\,kzaraRe,1,single_gloss,False
01.0026,hrAda~\,same_code_and_citation,01.0026,01.0026,avyakte Sabde,False,hrAda~\,avyakte Sabde,1,single_gloss,False
01.0027,hlAdI~\,same_code_and_citation,01.0027,01.0027,avyakte Sabde suKe ca,False,hlAdI~\,avyakte Sabde suKe ca,2,enumerated_glosses,False
01.0028,svAda~\,same_code_and_citation,01.0028,01.0028,AsvAdane,False,svAda~\,AsvAdane,1,single_gloss,False
01.0029,parda~\,same_code_and_citation,01.0029,01.0029,kutsite Sabde,False,parda~\,kutsite Sabde,1,single_gloss,False
01.0030,yatI~\,same_code_and_citation,01.0030,01.0030,prayatne,False,yatI~\,prayatne,1,single_gloss,False
01.0031,yutf~\,same_code_and_citation,01.0031,01.0031,BAsane,False,yutf~\,BAsane,1,single_gloss,False
01.0032,jutf~\,same_code_and_citation,01.0032,01.0032,BAsane,False,jutf~\,BAsane,1,single_gloss,False
01.0033,viTf~\,same_code_and_citation,01.0033,01.0033,yAcane,False,viTf~\,yAcane,1,single_gloss,False
01.0034,veTf~\,same_code_and_citation,01.0034,01.0034,yAcane,False,veTf~\,yAcane,1,single_gloss,False
01.0035,SraTi~\,same_code_and_citation,01.0035,01.0035,SETilye,False,SraTi~\,SETilye,1,single_gloss,False
01.0036,graTi~\,same_code_and_citation,01.0036,01.0036,kOwilye,False,graTi~\,kOwilye,1,single_gloss,False
01.0037,katTa~\,same_code_and_citation,01.0037,01.0037,SlAGAyAm,False,katTa~\,SlAGAyAm,1,single_gloss,False
01.0038,ata~,same_code_and_citation,01.0038,01.0038,sAtatyagamane,False,ata~,sAtatyagamane,1,single_gloss,False
01.0039,citI~,same_code_and_citation,01.0039,01.0039,saMjYAne,False,citI~,saMjYAne,1,single_gloss,False
01.0040,cyuti~r,same_code_and_citation,01.0040,01.0040,Asecane,False,cyuti~r,Asecane,1,single_gloss,False
01.0041,Scuti~r,same_code_and_citation,01.0041,01.0041,Asecane,False,Scuti~r,Asecane,1,single_gloss,False
01.0042,Scyuti~r,same_code_and_citation,01.0042,01.0042,kzaraRe,False,Scyuti~r,kzaraRe,1,single_gloss,False
